Book_Id,ISBN,ISBN13,My_Rating,Date_Read,Date_Added,Bookshelves,Exclusive_Shelf,My_Review,Spoiler,Private_Notes,Read_Count,Original_Purchase_Date
125925,0553590162,9780553590166,0,,19/08/2014,paperback,read,,,,1,
11149141,,,4,,19/08/2014,paperback,read,,,,1,
11137450,,9780575089358,3,,19/08/2014,paperback,read,,,,1,
464164,0747546290,9780747546290,0,27/05/2015,3/06/2014,paperback,read,,,,1,
11758941,0977547639,9780977547630,0,,3/01/2014,paperback,read,,,,1,
18866664,,9781921880223,4,25/07/2015,3/01/2014,paperback,read,,,,1,
124650,0007107927,9780007107926,0,,26/08/2012,paperback,read,,,,1,
124717,0007103417,9780007103416,0,,26/08/2012,paperback,read,,,,1,
3060616,1844837165,9781844837168,0,,3/01/2014,paperback,read,,,,1,
7960307,0749953020,9780749953027,0,,3/01/2014,paperback,read,,,,1,
13177535,,,0,22/06/2015,22/06/2015,ebook,read,,,,1,
4107256,1841497762,9781841497761,0,,19/08/2014,paperback,read,,,,1,
10863148,1841498033,9781841498034,0,,19/08/2014,paperback,read,,,,1,
6725785,0525951784,9780525951780,0,,19/08/2014,paperback,read,,,,1,
2813124,0553806645,9780553806649,0,,19/08/2014,paperback,read,,,,1,
7797032,1841498076,9781841498072,0,,19/08/2014,paperback,read,,,,1,
862350,0553588370,9780553588378,0,,19/08/2014,paperback,read,,,,1,
11922,0452285933,9780452285934,0,,19/08/2014,paperback,read,,,,1,
11919,0553587080,9780553587081,0,,19/08/2014,paperback,read,,,,1,
18873242,,,4,,19/08/2014,paperback,read,,,,1,
1541884,0553806610,9780553806618,0,,19/08/2014,paperback,read,,,,1,
11182703,,,4,,19/08/2014,paperback,read,,,,1,
18957788,,,0,,19/08/2014,paperback,read,,,,1,
13562219,,,4,16/11/2015,11/02/2015,,read,,,,1,
11335942,,,4,,19/08/2014,,read,,,,1,
8658215,,,2,,19/08/2014,,read,,,,1,
5762581,,,2,,19/08/2014,,read,,,,1,
5624799,,,2,,19/08/2014,,read,,,,1,
15981487,,,0,,19/08/2014,,read,,,,1,
47170450,,,0,,26/08/2019,"ebook, to-read",to-read,,,,0,
44937108,,,0,,26/08/2019,"to-read, ebook",to-read,,,,0,
44782214,,,0,,26/08/2019,"to-read, ebook",to-read,,,,0,
44440262,,,0,,26/08/2019,"to-read, ebook",to-read,,,,0,
19775731,,,0,,26/08/2019,"to-read, ebook",to-read,,,,0,
35231859,,,0,,26/08/2019,"to-read, ebook",to-read,,,,0,
25388199,,,0,,26/08/2019,"to-read, ebook",to-read,,,,0,
36240582,,,0,,26/08/2019,"to-read, ebook",to-read,,,,0,
18634109,,,0,,19/08/2014,"to-read, ebook",to-read,,,,0,
41445323,,,0,,8/04/2019,"paperback, to-read",to-read,,,,0,
17745735,,,0,,26/12/2014,"ebook, to-read",to-read,,,,0,
